 12/09-18:06:40.040   	Copelabs4	7a:4b:87:e3:44:04	1.1403049353520234
 12/09-18:07:40.040   	Copelabs4	7a:4b:87:e3:44:04	1.3149933053565679
 12/09-18:08:40.040   	Copelabs4	7a:4b:87:e3:44:04	1.357121454590366
 12/09-18:09:40.040   	Copelabs4	7a:4b:87:e3:44:04	1.7730485060620973
 12/09-18:10:40.040   	Copelabs4	7a:4b:87:e3:44:04	2.022604736945136
 12/09-18:11:40.040   	Copelabs4	7a:4b:87:e3:44:04	2.172338475474959
 12/09-18:12:41.041   	Copelabs4	7a:4b:87:e3:44:04	2.262178718592853
 12/09-18:13:43.043   	Copelabs4	7a:4b:87:e3:44:04	2.3160828644635894
 12/09-18:14:43.043   	Copelabs4	7a:4b:87:e3:44:04	2.272555411644507
 12/09-18:15:43.043   	Copelabs4	7a:4b:87:e3:44:04	2.545556660366823
 12/09-18:16:43.043   	Copelabs4	7a:4b:87:e3:44:04	2.545556660366823
 12/09-18:17:43.043   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:18:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:19:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:20:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:21:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:22:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:23:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:24:44.044   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 12/09-18:25:47.047   	Copelabs4	7a:4b:87:e3:44:04	2.709357409600212
 13/09-09:39:20.020   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:40:20.020   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:41:20.020   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:42:20.020   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:43:21.021   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:44:21.021   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:45:21.021   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:46:21.021   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-09:47:21.021   	Copelabs4	7a:4b:87:e3:44:04	10.37577709677257
 13/09-09:48:21.021   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 13/09-09:49:21.021   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 13/09-09:50:21.021   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 13/09-09:51:22.022   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 13/09-09:52:22.022   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 13/09-09:53:22.022   	Copelabs4	7a:4b:87:e3:44:04	9.874659976539764
 13/09-09:54:22.022   	Copelabs4	7a:4b:87:e3:44:04	8.139692052144428
 13/09-09:55:22.022   	Copelabs4	7a:4b:87:e3:44:04	8.139692052144428
 13/09-09:56:22.022   	Copelabs4	7a:4b:87:e3:44:04	7.098711297507226
 13/09-09:57:22.022   	Copelabs4	7a:4b:87:e3:44:04	6.474122844724905
 13/09-09:58:22.022   	Copelabs4	7a:4b:87:e3:44:04	5.681044193141242
 13/09-09:59:22.022   	Copelabs4	7a:4b:87:e3:44:04	5.623522582105314
 13/09-10:00:23.023   	Copelabs4	7a:4b:87:e3:44:04	6.104740942706275
 13/09-10:01:23.023   	Copelabs4	7a:4b:87:e3:44:04	6.104740942706275
 13/09-10:02:23.023   	Copelabs4	7a:4b:87:e3:44:04	6.104740942706275
 13/09-10:03:25.025   	Copelabs4	7a:4b:87:e3:44:04	6.104740942706275
 13/09-10:04:27.027   	Copelabs4	7a:4b:87:e3:44:04	7.813155404332793
 13/09-10:05:27.027   	Copelabs4	7a:4b:87:e3:44:04	7.719808008922966
 13/09-10:06:27.027   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:07:27.027   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:08:28.028   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:09:28.028   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:10:28.028   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:11:28.028   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:12:28.028   	Copelabs4	7a:4b:87:e3:44:04	7.362512198796866
 13/09-10:13:28.028   	Copelabs4	7a:4b:87:e3:44:04	6.12086957663565
 13/09-10:14:28.028   	Copelabs4	7a:4b:87:e3:44:04	5.887417812201958
 13/09-10:15:28.028   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:16:29.029   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:17:29.029   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:18:29.029   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:19:29.029   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:20:29.029   	Copelabs4	7a:4b:87:e3:44:04	5.329021173627474
 13/09-10:21:29.029   	Copelabs4	7a:4b:87:e3:44:04	8.878667417940738
 13/09-10:22:29.029   	Copelabs4	7a:4b:87:e3:44:04	11.635303892217982
 13/09-10:23:29.029   	Copelabs4	7a:4b:87:e3:44:04	11.131493174039816
 13/09-10:24:29.029   	Copelabs4	7a:4b:87:e3:44:04	14.45582066428316
 13/09-10:25:29.029   	Copelabs4	7a:4b:87:e3:44:04	14.45582066428316
 13/09-10:26:30.030   	Copelabs4	7a:4b:87:e3:44:04	14.45582066428316
